loss,mae,root_mean_squared_error,val_loss,val_mae,val_root_mean_squared_error
0.16464383900165558,0.12887950241565704,0.26533693075180054,0.16456080973148346,0.13099046051502228,0.1966560333967209
0.1131177768111229,0.08801387250423431,0.25813060998916626,0.16726107895374298,0.13315452635288239,0.20102941989898682
0.1056603267788887,0.0816788375377655,0.2583106756210327,0.1781078726053238,0.1325152963399887,0.21322305500507355
0.09898237884044647,0.07552866637706757,0.2590958774089813,0.20502729713916779,0.1572636067867279,0.2471787929534912
0.0923290029168129,0.06951406598091125,0.2606905400753021,0.21927113831043243,0.16906850039958954,0.2648387551307678
0.0876123383641243,0.06526795029640198,0.26125437021255493,0.22962021827697754,0.17907929420471191,0.2731859087944031
0.08240842074155807,0.06106948107481003,0.2625918388366699,0.2161143720149994,0.1758771538734436,0.2563762366771698
0.0792338103055954,0.058620452880859375,0.26275989413261414,0.2196439951658249,0.18950463831424713,0.26105576753616333
0.07723728567361832,0.0571938119828701,0.26356440782546997,0.21929170191287994,0.17982418835163116,0.25747403502464294
0.07465920597314835,0.054991018027067184,0.26396822929382324,0.21847045421600342,0.1843874156475067,0.25823089480400085
0.07350659370422363,0.05398198589682579,0.2638658583164215,0.1971919983625412,0.17028816044330597,0.23289819061756134
0.07226346433162689,0.05293683707714081,0.26395872235298157,0.20623010396957397,0.18156835436820984,0.24284406006336212
0.07053814828395844,0.05154120922088623,0.26413822174072266,0.1938357800245285,0.17066220939159393,0.228526771068573
0.06980070471763611,0.05091884732246399,0.26473280787467957,0.19385898113250732,0.1631273627281189,0.2328433096408844
0.06813715398311615,0.04962959885597229,0.2648506164550781,0.1745937615633011,0.1485304832458496,0.2137622982263565
0.06689991056919098,0.04884744808077812,0.26501932740211487,0.17368699610233307,0.14886035025119781,0.21596978604793549
0.06450269371271133,0.04711328074336052,0.2656104266643524,0.15946467220783234,0.13105221092700958,0.20586614310741425
0.06235546991229057,0.045643020421266556,0.2660267651081085,0.147188201546669,0.11676163971424103,0.20112244784832
0.05960429087281227,0.04356053099036217,0.26659148931503296,0.14589464664459229,0.11553225666284561,0.2017890363931656
